               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060996,             0.02182,            0.031581,             0.43682,             0.50977,               0.492,              0.2606,            0.026385,           0.0080356,            0.012617,            0.070034,           0.0033295,           0.0033295
                   1,            0.045123,            0.014533,             0.01225,             0.61888,             0.65229,             0.65013,             0.37535,            0.026405,           0.0074453,           0.0093604,            0.040001,           0.0066299,           0.0066299
                   2,            0.041778,            0.013927,             0.00828,               0.684,              0.6543,             0.68961,             0.41256,            0.022792,           0.0075074,            0.006722,           0.0099352,           0.0098972,           0.0098972
                   3,            0.038893,            0.014186,           0.0075121,             0.74975,              0.6533,             0.69954,             0.43051,            0.022632,           0.0083361,            0.004432,           0.0098515,           0.0098515,           0.0098515
                   4,            0.036509,            0.014244,           0.0064922,             0.74013,             0.69743,             0.71311,             0.44309,            0.020092,           0.0075641,           0.0056212,           0.0098515,           0.0098515,           0.0098515
                   5,            0.034761,            0.013753,           0.0055255,             0.72205,             0.66589,             0.70787,             0.43807,            0.021312,           0.0098607,           0.0070803,            0.009802,            0.009802,            0.009802
                   6,            0.033662,            0.013408,           0.0049185,             0.70342,             0.72138,             0.71412,             0.46773,            0.019513,            0.008308,           0.0038422,           0.0097525,           0.0097525,           0.0097525
                   7,            0.032294,            0.013089,           0.0044252,             0.81119,             0.77262,             0.78772,             0.49849,            0.019553,           0.0070055,           0.0033283,            0.009703,            0.009703,            0.009703
                   8,            0.031481,            0.013249,           0.0042794,             0.79802,             0.70896,             0.76313,              0.4867,            0.018194,           0.0070148,            0.004148,           0.0096535,           0.0096535,           0.0096535
                   9,            0.030697,            0.012558,           0.0038163,              0.7933,             0.73383,             0.78764,             0.51461,            0.017133,           0.0076928,           0.0038569,            0.009604,            0.009604,            0.009604
                  10,            0.029623,            0.012323,            0.003751,             0.79763,             0.73755,             0.79286,             0.51423,            0.016844,           0.0075951,           0.0029242,           0.0095545,           0.0095545,           0.0095545
                  11,            0.028806,            0.012259,           0.0033926,             0.80141,             0.78609,             0.80977,             0.53393,            0.016113,           0.0069418,           0.0022505,            0.009505,            0.009505,            0.009505
                  12,             0.02802,            0.011744,           0.0030894,             0.77349,             0.73335,             0.77915,             0.52562,            0.016267,           0.0072882,           0.0040419,           0.0094555,           0.0094555,           0.0094555
                  13,            0.027836,            0.011693,           0.0030568,             0.85949,             0.75298,             0.81287,             0.54299,            0.016506,           0.0075338,           0.0020047,            0.009406,            0.009406,            0.009406
                  14,            0.027013,            0.011386,           0.0028055,             0.80652,             0.76307,              0.8068,             0.55062,            0.015945,           0.0067309,           0.0020859,           0.0093565,           0.0093565,           0.0093565
                  15,            0.026196,            0.011277,           0.0024345,             0.83737,             0.82056,             0.84735,             0.58272,            0.014833,            0.006288,            0.003074,            0.009307,            0.009307,            0.009307
                  16,            0.026113,            0.011136,           0.0024752,             0.82872,             0.78044,             0.83823,             0.56009,            0.015721,           0.0075334,           0.0029839,           0.0092575,           0.0092575,           0.0092575
                  17,            0.025755,            0.011149,           0.0024398,             0.79296,             0.76986,             0.81903,             0.56511,            0.015213,           0.0075692,           0.0016044,            0.009208,            0.009208,            0.009208
                  18,            0.025243,            0.010948,           0.0022231,             0.80548,             0.73355,             0.80437,             0.56162,            0.015592,           0.0076996,            0.001635,           0.0091585,           0.0091585,           0.0091585
                  19,            0.024814,            0.011158,           0.0023073,             0.84303,             0.77903,             0.82993,             0.58359,            0.014839,           0.0068241,           0.0018663,            0.009109,            0.009109,            0.009109
                  20,            0.024444,            0.010529,           0.0020544,             0.83135,             0.79878,             0.83327,             0.58794,            0.014339,           0.0063786,           0.0020988,           0.0090595,           0.0090595,           0.0090595
                  21,            0.024373,            0.010512,           0.0020011,             0.83676,             0.80676,              0.8554,              0.6079,             0.01428,           0.0066714,           0.0023266,             0.00901,             0.00901,             0.00901
                  22,             0.02336,            0.010236,           0.0017415,             0.84125,             0.81429,              0.8519,             0.60441,             0.01392,           0.0072635,           0.0016009,           0.0089605,           0.0089605,           0.0089605
                  23,            0.023825,            0.010313,           0.0020925,             0.81997,             0.81903,             0.85263,             0.60391,            0.014697,           0.0064961,           0.0012428,            0.008911,            0.008911,            0.008911
                  24,            0.023317,            0.010214,           0.0017462,             0.84716,             0.82708,             0.86093,              0.6171,            0.013923,           0.0062243,           0.0012503,           0.0088615,           0.0088615,           0.0088615
                  25,            0.023386,            0.010326,           0.0019445,             0.86694,             0.79141,             0.85335,             0.60303,            0.014335,           0.0072663,           0.0030522,            0.008812,            0.008812,            0.008812
                  26,            0.022941,            0.010314,           0.0018806,               0.849,             0.79823,             0.85818,             0.61959,            0.013941,           0.0063802,           0.0024958,           0.0087625,           0.0087625,           0.0087625
                  27,            0.022897,           0.0099363,           0.0017019,             0.86321,             0.83613,             0.87189,             0.63662,             0.01308,           0.0057644,           0.0021793,            0.008713,            0.008713,            0.008713
                  28,            0.022289,           0.0098685,           0.0015293,             0.84376,             0.80585,             0.86696,             0.61608,             0.01376,           0.0070535,           0.0034749,           0.0086635,           0.0086635,           0.0086635
                  29,            0.022472,           0.0098951,           0.0014432,             0.86984,             0.78349,             0.85758,             0.62593,            0.013745,            0.006243,           0.0016347,            0.008614,            0.008614,            0.008614
